year,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
1976,Utah,"539,649","248,027","280,706",N/A,"10,916","32,679",D,"32,679",D,45.96,52.02,0,2.02,46.91,53.09
1976,Vermont,"185,929","99,268","75,262",N/A,"11,399","24,006",R,"24,006",R,53.39,40.48,0,6.13,56.88,43.12
1976,Washington,"1,546,380","687,039","821,797",N/A,"37,544","134,758",D,"134,758",D,44.43,53.14,0,2.43,45.53,54.47
1976,West Virginia,"749,270","253,420","495,661",N/A,189,"242,241",D,"242,241",D,33.82,66.15,0,0.03,33.83,66.17
1976,Arkansas,"726,949","121,716","605,083",N/A,150,"483,367",D,"483,367",D,16.74,83.24,0,0.02,16.75,83.25
1976,Delaware,"229,563","130,531","97,480",N/A,"1,552","33,051",R,"33,051",R,56.86,42.46,0,0.68,57.25,42.75
1976,Illinois,"4,635,728","3,000,395","1,606,989",N/A,"28,344","1,393,406",R,"1,393,406",R,64.72,34.67,0,0.61,65.12,34.88
1976,Indiana,"2,175,324","1,236,555","927,243",N/A,"11,526","309,312",R,"309,312",R,56.84,42.63,0,0.53,57.15,42.85
1976,Missouri,"1,933,575","958,110","971,184",N/A,"4,281","13,074",D,"13,074",D,49.55,50.23,0,0.22,49.66,50.34
1976,Montana,"316,720","115,848","195,420",N/A,"5,452","79,572",D,"79,572",D,36.58,61.7,0,1.72,37.22,62.78
1976,New Hampshire,"342,669","197,589","145,015",N/A,65,"52,574",R,"52,574",R,57.66,42.32,0,0.02,57.67,42.33
1976,North Carolina,"1,663,814","564,092","1,081,293",N/A,"18,429","517,201",D,"517,201",D,33.9,64.99,0,1.11,34.28,65.72
1976,North Dakota,"297,249","138,321","153,309",N/A,"5,619","14,988",D,"14,988",D,46.53,51.58,0,1.89,47.43,52.57
1976,Rhode Island,"398,683","178,254","218,561",N/A,"1,868","40,307",D,"40,307",D,44.71,54.82,0,0.47,44.92,55.08
1977,New Jersey,"2,126,264","888,880","1,184,564",N/A,"52,820","295,684",D,"295,684",D,41.8,55.71,0,2.48,42.87,57.13
1977,Virginia,"1,250,940","699,302","541,319",N/A,"10,319","157,983",R,"157,983",R,55.9,43.27,0,0.82,56.37,43.63
1978,Alabama,"760,474","196,963","551,886",N/A,"11,625","354,923",D,"354,923",D,25.9,72.57,0,1.53,26.3,73.7
1978,Alaska,"126,910","49,580","25,656",N/A,"51,674","2,094",O,"23,924",R,39.07,20.22,0,40.72,65.9,34.1
1978,Arizona,"538,556","241,093","282,605",N/A,"14,858","41,512",D,"41,512",D,44.77,52.47,0,2.76,46.04,53.96
1978,Arkansas,"528,912","193,746","335,101",N/A,65,"141,355",D,"141,355",D,36.63,63.36,0,0.01,36.64,63.36
1978,California,"6,922,378","2,526,534","3,878,812",N/A,"517,032","1,352,278",D,"1,352,278",D,36.5,56.03,0,7.47,39.44,60.56
1978,Colorado,"823,807","317,292","483,985",N/A,"22,530","166,693",D,"166,693",D,38.52,58.75,0,2.73,39.6,60.4
1978,Connecticut,"1,036,608","422,316","613,109",N/A,"1,183","190,793",D,"190,793",D,40.74,59.15,0,0.11,40.79,59.21
1978,Florida,"2,530,468","1,123,888","1,406,580",N/A,N/A,"282,692",D,"282,692",D,44.41,55.59,0,0,44.41,55.59
1978,Hawaii,"281,587","124,610","153,394",N/A,"3,583","28,784",D,"28,784",D,44.25,54.47,0,1.27,44.82,55.18
1978,Idaho,"288,566","114,149","169,540",N/A,"4,877","55,391",D,"55,391",D,39.56,58.75,0,1.69,40.24,59.76
1978,Illinois,"3,150,095","1,859,684","1,263,134",N/A,"27,277","596,550",R,"596,550",R,59.04,40.1,0,0.87,59.55,40.45
1978,Iowa,"843,190","491,713","345,519",N/A,"5,958","146,194",R,"146,194",R,58.32,40.98,0,0.71,58.73,41.27
1978,Kansas,"736,246","348,015","363,835",N/A,"24,396","15,820",D,"15,820",D,47.27,49.42,0,3.31,48.89,51.11
1978,Maine,"370,258","126,862","176,493",N/A,"66,903","49,631",D,"49,631",D,34.26,47.67,0,18.07,41.82,58.18
1978,Maryland,"1,011,963","293,635","718,328",N/A,N/A,"424,693",D,"424,693",D,29.02,70.98,0,0,29.02,70.98
1978,Massachusetts,"1,962,251","926,072","1,030,294",N/A,"5,885","104,222",D,"104,222",D,47.19,52.51,0,0.3,47.34,52.66
1978,Michigan,"2,867,212","1,628,485","1,237,256",N/A,"1,471","391,229",R,"391,229",R,56.8,43.15,0,0.05,56.83,43.17
1978,Minnesota,"1,585,702","830,019","718,244",N/A,"37,439","111,775",R,"111,775",R,52.34,45.3,0,2.36,53.61,46.39
1978,Nebraska,"492,423","275,473","216,754",N/A,196,"58,719",R,"58,719",R,55.94,44.02,0,0.04,55.96,44.04
1978,Nevada,"192,445","108,097","76,361",N/A,"7,987","31,736",R,"31,736",R,56.17,39.68,0,4.15,58.6,41.4
1978,New Hampshire,"269,587","122,464","133,133",N/A,"13,990","10,669",D,"10,669",D,45.43,49.38,0,5.19,47.91,52.09
1978,New Mexico,"345,577","170,848","174,631",N/A,98,"3,783",D,"3,783",D,49.44,50.53,0,0.03,49.45,50.55
1978,New York,"4,768,820","2,156,404","2,429,272",N/A,"183,144","272,868",D,"272,868",D,45.22,50.94,0,3.84,47.02,52.98
1978,Ohio,"2,843,351","1,402,167","1,354,631",N/A,"86,553","47,536",R,"47,536",R,49.31,47.64,0,3.04,50.86,49.14
1978,Oklahoma,"777,414","367,055","402,240",N/A,"8,119","35,185",D,"35,185",D,47.21,51.74,0,1.04,47.71,52.29
1978,Oregon,"911,143","498,452","409,411",N/A,"3,280","89,041",R,"89,041",R,54.71,44.93,0,0.36,54.9,45.1
1978,Pennsylvania,"3,741,969","1,966,042","1,737,888",N/A,"38,039","228,154",R,"228,154",R,52.54,46.44,0,1.02,53.08,46.92
1978,Rhode Island,"314,363","96,596","197,386",N/A,"20,381","100,790",D,"100,790",D,30.73,62.79,0,6.48,32.86,67.14
1978,South Carolina,"627,182","236,946","384,898",N/A,"5,338","147,952",D,"147,952",D,37.78,61.37,0,0.85,38.1,61.9
1978,South Dakota,"259,795","147,116","112,679",N/A,N/A,"34,437",R,"34,437",R,56.63,43.37,0,0,56.63,43.37
1978,Tennessee,"1,189,695","661,959","523,495",N/A,"4,241","138,464",R,"138,464",R,55.64,44,0,0.36,55.84,44.16
1978,Texas,"2,369,764","1,183,839","1,166,979",N/A,"18,946","16,860",R,"16,860",R,49.96,49.24,0,0.8,50.36,49.64
1978,Vermont,"124,482","78,181","42,482",N/A,"3,819","35,699",R,"35,699",R,62.81,34.13,0,3.07,64.79,35.21
1978,Wisconsin,"1,500,996","816,056","673,813",N/A,"11,127","142,243",R,"142,243",R,54.37,44.89,0,0.74,54.77,45.23
1978,Wyoming,"137,567","67,595","69,972",N/A,N/A,"2,377",D,"2,377",D,49.14,50.86,0,0,49.14,50.86
1979,Kentucky,"939,366","381,278","558,088",N/A,N/A,"176,810",D,"176,810",D,40.59,59.41,0,0,40.59,59.41
1979,Louisiana,"1,371,825","690,691","681,134",N/A,N/A,"9,557",R,"9,557",R,50.35,49.65,0,0,50.35,49.65
1979,Mississippi,"677,322","263,702","413,620",N/A,N/A,"149,918",D,"149,918",D,38.93,61.07,0,0,38.93,61.07
1980,Arkansas,"838,925","435,684","403,241",N/A,N/A,"32,443",R,"32,443",R,51.93,48.07,0,0,51.93,48.07
1980,Delaware,"225,081","159,004","64,217",N/A,"1,860","94,787",R,"94,787",R,70.64,28.53,0,0.83,71.23,28.77
1980,Indiana,"2,178,403","1,257,383","913,116",N/A,"7,904","344,267",R,"344,267",R,57.72,41.92,0,0.36,57.93,42.07
1980,Missouri,"2,088,028","1,098,950","981,884",N/A,"7,194","117,066",R,"117,066",R,52.63,47.02,0,0.34,52.81,47.19
1980,Montana,"360,470","160,896","199,574",N/A,N/A,"38,678",D,"38,678",D,44.64,55.36,0,0,44.64,55.36
1980,New Hampshire,"384,031","156,178","226,436",N/A,"1,417","70,258",D,"70,258",D,40.67,58.96,0,0.37,40.82,59.18
1980,North Carolina,"1,847,432","691,449","1,143,145",N/A,"12,838","451,696",D,"451,696",D,37.43,61.88,0,0.69,37.69,62.31
1980,North Dakota,"302,621","162,230","140,391",N/A,N/A,"21,839",R,"21,839",R,53.61,46.39,0,0,53.61,46.39
1980,Rhode Island,"405,916","106,729","299,174",N/A,13,"192,445",D,"192,445",D,26.29,73.7,0,0,26.29,73.71
1980,Utah,"600,019","266,578","330,974",N/A,"2,467","64,396",D,"64,396",D,44.43,55.16,0,0.41,44.61,55.39
1980,Vermont,"210,381","123,229","77,363",N/A,"9,789","45,866",R,"45,866",R,58.57,36.77,0,4.65,61.43,38.57
1980,Washington,"1,730,896","981,083","749,813",N/A,N/A,"231,270",R,"231,270",R,56.68,43.32,0,0,56.68,43.32
1980,West Virginia,"742,150","337,240","401,863",N/A,"3,047","64,623",D,"64,623",D,45.44,54.15,0,0.41,45.63,54.37
1981,New Jersey,"2,317,239","1,145,999","1,144,202",N/A,"27,038","1,797",R,"1,797",R,49.46,49.38,0,1.17,50.04,49.96
1981,Virginia,"1,420,638","659,398","760,384",N/A,856,"100,986",D,"100,986",D,46.42,53.52,0,0.06,46.44,53.56
1982,Alabama,"1,128,725","440,815","650,538",N/A,"37,372","209,723",D,"209,723",D,39.05,57.63,0,3.31,40.39,59.61
1982,Alaska,"194,885","72,291","89,918",N/A,"32,676","17,627",D,"17,627",D,37.09,46.14,0,16.77,44.57,55.43
1982,Arizona,"726,364","235,877","453,795",N/A,"36,692","217,918",D,"217,918",D,32.47,62.47,0,5.05,34.2,65.8
1982,Arkansas,"789,351","357,496","431,855",N/A,N/A,"74,359",D,"74,359",D,45.29,54.71,0,0,45.29,54.71
1982,California,"7,876,698","3,881,014","3,787,669",N/A,"208,015","93,345",R,"93,345",R,49.27,48.09,0,2.64,50.61,49.39
1982,Colorado,"956,021","302,740","627,960",N/A,"25,321","325,220",D,"325,220",D,31.67,65.68,0,2.65,32.53,67.47
1982,Connecticut,"1,083,876","497,773","578,264",N/A,"7,839","80,491",D,"80,491",D,45.93,53.35,0,0.72,46.26,53.74
1982,Florida,"2,688,566","949,013","1,739,553",N/A,N/A,"790,540",D,"790,540",D,35.3,64.7,0,0,35.3,64.7
1982,Georgia,"1,169,043","434,496","734,092",N/A,455,"299,596",D,"299,596",D,37.17,62.79,0,0.04,37.18,62.82
1982,Hawaii,"311,853","81,507","141,043",N/A,"89,303","51,740",D,"59,536",D,26.14,45.23,0,28.64,36.62,63.38
1982,Idaho,"326,522","161,157","165,365",N/A,N/A,"4,208",D,"4,208",D,49.36,50.64,0,0,49.36,50.64
1982,Illinois,"3,673,681","1,816,101","1,811,027",N/A,"46,553","5,074",R,"5,074",R,49.44,49.3,0,1.27,50.07,49.93
1982,Iowa,"1,038,229","548,313","483,291",N/A,"6,625","65,022",R,"65,022",R,52.81,46.55,0,0.64,53.15,46.85
1982,Kansas,"763,263","339,356","405,772",N/A,"18,135","66,416",D,"66,416",D,44.46,53.16,0,2.38,45.54,54.46
1982,Maine,"460,295","172,949","281,066",N/A,"6,280","108,117",D,"108,117",D,37.57,61.06,0,1.36,38.09,61.91
1982,Maryland,"1,139,149","432,826","705,910",N/A,413,"273,084",D,"273,084",D,38,61.97,0,0.04,38.01,61.99
1982,Massachusetts,"2,050,254","749,679","1,219,109",N/A,"81,466","469,430",D,"469,430",D,36.57,59.46,0,3.97,38.08,61.92
1982,Michigan,"3,040,008","1,369,582","1,561,291",N/A,"109,135","191,709",D,"191,709",D,45.05,51.36,0,3.59,46.73,53.27
1982,Minnesota,"1,789,539","715,796","1,049,104",N/A,"24,639","333,308",D,"333,308",D,40,58.62,0,1.38,40.56,59.44
1982,Nebraska,"547,902","270,203","277,436",N/A,263,"7,233",D,"7,233",D,49.32,50.64,0,0.05,49.34,50.66
1982,Nevada,"239,751","100,104","128,132",N/A,"11,515","28,028",D,"28,028",D,41.75,53.44,0,4.8,43.86,56.14
1982,New Hampshire,"282,588","145,389","132,317",N/A,"4,882","13,072",R,"13,072",R,51.45,46.82,0,1.73,52.35,47.65
1982,New Mexico,"407,466","191,626","215,840",N/A,N/A,"24,214",D,"24,214",D,47.03,52.97,0,0,47.03,52.97
1982,New York,"5,254,891","2,494,827","2,675,213",N/A,"84,851","180,386",D,"180,386",D,47.48,50.91,0,1.61,48.26,51.74
1982,Ohio,"3,356,791","1,303,962","1,981,952",N/A,"70,877","677,990",D,"677,990",D,38.85,59.04,0,2.11,39.68,60.32
1982,Oklahoma,"883,130","332,207","548,159",N/A,"2,764","215,952",D,"215,952",D,37.62,62.07,0,0.31,37.74,62.26
1982,Oregon,"1,042,009","639,841","374,316",N/A,"27,852","265,525",R,"265,525",R,61.4,35.92,0,2.67,63.09,36.91
1982,Pennsylvania,"3,683,985","1,872,784","1,772,353",N/A,"38,848","100,431",R,"100,431",R,50.84,48.11,0,1.05,51.38,48.62
1982,Rhode Island,"337,259","79,602","247,208",N/A,"10,449","167,606",D,"167,606",D,23.6,73.3,0,3.1,24.36,75.64
1982,South Carolina,"671,625","202,806","468,819",N/A,N/A,"266,013",D,"266,013",D,30.2,69.8,0,0,30.2,69.8
1982,South Dakota,"278,565","197,429","81,136",N/A,N/A,"116,293",R,"116,293",R,70.87,29.13,0,0,70.87,29.13
1982,Tennessee,"1,238,927","737,963","500,937",N/A,27,"237,026",R,"237,026",R,59.56,40.43,0,0,59.57,40.43
1982,Texas,"3,191,091","1,465,937","1,697,870",N/A,"27,284","231,933",D,"231,933",D,45.94,53.21,0,0.86,46.33,53.67
1982,Vermont,"169,251","93,111","74,394",N/A,"1,746","18,717",R,"18,717",R,55.01,43.95,0,1.03,55.59,44.41
1982,Wisconsin,"1,580,344","662,838","896,812",N/A,"20,694","233,974",D,"233,974",D,41.94,56.75,0,1.31,42.5,57.5
1982,Wyoming,"168,555","62,128","106,427",N/A,N/A,"44,299",D,"44,299",D,36.86,63.14,0,0,36.86,63.14
1983,Kentucky,"1,030,628","454,650","561,674",N/A,"14,304","107,024",D,"107,024",D,44.11,54.5,0,1.39,44.73,55.27
1983,Louisiana,"1,615,905","588,508","1,006,561",N/A,"20,836","418,053",D,"418,053",D,36.42,62.29,0,1.29,36.9,63.1
1983,Mississippi,"742,737","288,764","409,209",N/A,"44,764","120,445",D,"120,445",D,38.88,55.09,0,6.03,41.37,58.63
1984,Arkansas,"886,548","331,987","554,561",N/A,N/A,"222,574",D,"222,574",D,37.45,62.55,0,0,37.45,62.55
1984,Delaware,"243,565","135,250","108,315",N/A,N/A,"26,935",R,"26,935",R,55.53,44.47,0,0,55.53,44.47
1984,Indiana,"2,197,988","1,146,497","1,036,922",N/A,"14,569","109,575",R,"109,575",R,52.16,47.18,0,0.66,52.51,47.49
1984,Missouri,"2,108,210","1,194,506","913,700",N/A,4,"280,806",R,"280,806",R,56.66,43.34,0,0,56.66,43.34
1984,Montana,"378,970","100,070","266,578",N/A,"12,322","166,508",D,"166,508",D,26.41,70.34,0,3.25,27.29,72.71
1984,New Hampshire,"383,910","256,574","127,156",N/A,180,"129,418",R,"129,418",R,66.83,33.12,0,0.05,66.86,33.14
1984,North Carolina,"2,226,727","1,208,167","1,011,209",N/A,"7,351","196,958",R,"196,958",R,54.26,45.41,0,0.33,54.44,45.56
1984,Rhode Island,"408,375","245,059","163,311",N/A,5,"81,748",R,"81,748",R,60.01,39.99,0,0,60.01,39.99
1984,Utah,"629,619","351,792","275,669",N/A,"2,158","76,123",R,"76,123",R,55.87,43.78,0,0.34,56.07,43.93
1984,Vermont,"233,753","113,264","116,938",N/A,"3,551","3,674",D,"3,674",D,48.45,50.03,0,1.52,49.2,50.8
1984,Washington,"1,888,987","881,994","1,006,993",N/A,N/A,"124,999",D,"124,999",D,46.69,53.31,0,0,46.69,53.31
1984,West Virginia,"741,502","394,937","346,565",N/A,N/A,"48,372",R,"48,372",R,53.26,46.74,0,0,53.26,46.74
1985,New Jersey,"1,972,624","1,372,631","578,402",N/A,"21,591","794,229",R,"794,229",R,69.58,29.32,0,1.09,70.35,29.65
1985,Virginia,"1,343,240","601,649","741,438",N/A,153,"139,789",D,"139,789",D,44.79,55.2,0,0.01,44.8,55.2
1986,Alabama,"1,236,230","696,203","537,163",N/A,"2,864","159,040",R,"159,040",R,56.32,43.45,0,0.23,56.45,43.55
1986,Alaska,"179,555","76,515","84,943",N/A,"18,097","8,428",D,"8,428",D,42.61,47.31,0,10.08,47.39,52.61
1986,Arizona,"866,984","343,913","298,986","224,085",N/A,"44,927",R,"44,927",R,39.67,34.49,25.85,0,53.49,46.51
1986,Arkansas,"688,551","248,427","439,882",N/A,242,"191,455",D,"191,455",D,36.08,63.89,0,0.04,36.09,63.91
1986,California,"7,443,551","4,506,601","2,781,714",N/A,"155,236","1,724,887",R,"1,724,887",R,60.54,37.37,0,2.09,61.83,38.17
1986,Colorado,"1,058,928","434,420","616,325",N/A,"8,183","181,905",D,"181,905",D,41.02,58.2,0,0.77,41.34,58.66
1986,Connecticut,"993,692","408,489","575,638",N/A,"9,565","167,149",D,"167,149",D,41.11,57.93,0,0.96,41.51,58.49
1986,Florida,"3,386,171","1,847,525","1,538,620",N/A,26,"308,905",R,"308,905",R,54.56,45.44,0,0,54.56,45.44
1986,Georgia,"1,175,114","346,512","828,465",N/A,137,"481,953",D,"481,953",D,29.49,70.5,0,0.01,29.49,70.51
1986,Hawaii,"334,115","160,460","173,655",N/A,N/A,"13,195",D,"13,195",D,48.03,51.97,0,0,48.03,51.97
1986,Idaho,"387,426","189,794","193,429",N/A,"4,203","3,635",D,"3,635",D,48.99,49.93,0,1.08,49.53,50.47
1986,Illinois,"3,143,978","1,655,849","208,830","1,256,626","22,673","399,223",R,"1,447,019",R,52.67,6.64,39.97,0.72,88.8,11.2
1986,Iowa,"910,623","472,712","436,987",N/A,924,"35,725",R,"35,725",R,51.91,47.99,0,0.1,51.96,48.04
1986,Kansas,"840,605","436,267","404,338",N/A,N/A,"31,929",R,"31,929",R,51.9,48.1,0,0,51.9,48.1
1986,Maine,"426,861","170,312","128,744",N/A,"127,805","41,568",R,"41,568",R,39.9,30.16,0,29.94,56.95,43.05
1986,Maryland,"1,101,476","194,185","907,291",N/A,N/A,"713,106",D,"713,106",D,17.63,82.37,0,0,17.63,82.37
1986,Massachusetts,"1,684,079","525,364","1,157,786",N/A,929,"632,422",D,"632,422",D,31.2,68.75,0,0.06,31.21,68.79
1986,Michigan,"2,396,564","753,647","1,632,138",N/A,"10,779","878,491",D,"878,491",D,31.45,68.1,0,0.45,31.59,68.41
1986,Minnesota,"1,415,989","606,755","790,138",N/A,"19,096","183,383",D,"183,383",D,42.85,55.8,0,1.35,43.44,56.56
1986,Nebraska,"564,422","298,325","265,156",N/A,941,"33,169",R,"33,169",R,52.85,46.98,0,0.17,52.94,47.06
1986,Nevada,"260,375","65,081","187,268",N/A,"8,026","122,187",D,"122,187",D,25,71.92,0,3.08,25.79,74.21
1986,New Hampshire,"251,107","134,824","116,142",N/A,141,"18,682",R,"18,682",R,53.69,46.25,0,0.06,53.72,46.28
1986,New Mexico,"394,833","209,455","185,378",N/A,N/A,"24,077",R,"24,077",R,53.05,46.95,0,0,53.05,46.95
1986,New York,"4,294,124","1,363,810","2,775,229",N/A,"155,085","1,411,419",D,"1,411,419",D,31.76,64.63,0,3.61,32.95,67.05
1986,Ohio,"3,066,611","1,207,264","1,858,372",N/A,975,"651,108",D,"651,108",D,39.37,60.6,0,0.03,39.38,60.62
1986,Oklahoma,"909,925","431,762","405,295",N/A,"72,868","26,467",R,"26,467",R,47.45,44.54,0,8.01,51.58,48.42
1986,Oregon,"1,059,630","506,986","549,456",N/A,"3,188","42,470",D,"42,470",D,47.85,51.85,0,0.3,47.99,52.01
1986,Pennsylvania,"3,388,275","1,638,268","1,717,484",N/A,"32,523","79,216",D,"79,216",D,48.35,50.69,0,0.96,48.82,51.18
1986,Rhode Island,"322,724","208,822","104,508",N/A,"9,394","104,314",R,"104,314",R,64.71,32.38,0,2.91,66.65,33.35
1986,South Carolina,"753,751","384,565","361,325",N/A,"7,861","23,240",R,"23,240",R,51.02,47.94,0,1.04,51.56,48.44
1986,South Dakota,"294,441","152,543","141,898",N/A,N/A,"10,645",R,"10,645",R,51.81,48.19,0,0,51.81,48.19
1986,Tennessee,"1,210,339","553,449","656,602",N/A,288,"103,153",D,"103,153",D,45.73,54.25,0,0.02,45.74,54.26
1986,Texas,"3,441,460","1,813,779","1,584,515",N/A,"43,166","229,264",R,"229,264",R,52.7,46.04,0,1.25,53.37,46.63
1986,Vermont,"196,716","75,162","92,379",N/A,"29,175","17,217",D,"17,217",D,38.21,46.96,0,14.83,44.86,55.14
1986,Wisconsin,"1,526,960","805,090","705,578",N/A,"16,292","99,512",R,"99,512",R,52.73,46.21,0,1.07,53.29,46.71
1986,Wyoming,"164,720","75,841","88,879",N/A,N/A,"13,038",D,"13,038",D,46.04,53.96,0,0,46.04,53.96
1987,Kentucky,"777,815","273,141","504,674",N/A,N/A,"231,533",D,"231,533",D,35.12,64.88,0,0,35.12,64.88
1987,Louisiana,"1,558,730","287,780","516,078","437,801","317,071","78,277",D,"228,298",D,18.46,33.11,28.09,20.34,35.8,64.2
1987,Mississippi,"721,695","336,006","385,689",N/A,N/A,"49,683",D,"49,683",D,46.56,53.44,0,0,46.56,53.44
1988,Delaware,"239,969","169,733","70,236",N/A,N/A,"99,497",R,"99,497",R,70.73,29.27,0,0,70.73,29.27
1988,Indiana,"2,140,781","1,002,207","1,138,574",N/A,N/A,"136,367",D,"136,367",D,46.82,53.18,0,0,46.82,53.18
1988,Missouri,"2,085,928","1,339,531","724,919",N/A,"21,478","614,612",R,"614,612",R,64.22,34.75,0,1.03,64.89,35.11
1988,Montana,"367,021","190,604","169,313",N/A,"7,104","21,291",R,"21,291",R,51.93,46.13,0,1.94,52.96,47.04
