"","st","year","mean.pres.approve","mean.pres.disapprove","presidential.party"
"1"," VT",1986,0.62,0.37,0
"2"," VT",1994,0.45,0.55,1
"3"," VT",1996,0.48,0.52,1
"4"," VT",1997,0.47,0.53,1
"5"," VT",1998,0.57,0.43,1
"6"," VT",2000,0.64,0.32,1
"7"," VT",2001,0.46,0.52,0
"8"," VT",2002,0.45,0.51,0
"9"," VT",2003,0.42,0.58,0
"10"," VT",2004,0.38,0.62,0
"11"," VT",2005,0.305714285714286,0.665714285714286,0
"12"," VT",2006,0.273333333333333,0.705833333333333,0
"13","AK",1994,0.39,0.54,1
"14","AK",1996,0.36,0.64,1
"15","AK",2000,0.44,0.54,1
"16","AK",2005,0.497142857142857,0.464285714285714,0
"17","AK",2006,0.461818181818182,0.510909090909091,0
"18","AK",2007,0.42,0.57,0
"19","AK",2008,0.38,0.62,0
"20","AL",1964,0.321052631578947,0.517368421052632,1
"21","AL",1980,0.3,0.7,1
"22","AL",1981,0.566666666666667,0.433333333333333,0
"23","AL",1982,0.39,0.61,0
"24","AL",1983,0.43,0.575,0
"25","AL",1984,0.54,0.46,0
"26","AL",1985,0.56,0.445,0
"27","AL",1986,0.62,0.38,0
"28","AL",1987,0.55,0.455,0
"29","AL",1988,0.585,0.415,0
"30","AL",1989,0.52,0.48,0
"31","AL",1990,0.48,0.52,0
"32","AL",1991,0.625,0.335,0
"33","AL",1992,0.47,0.51,0
"34","AL",1993,0.31,0.69,1
"35","AL",1994,0.33,0.643333333333333,1
"36","AL",1995,0.295,0.705,1
"37","AL",1996,0.378333333333333,0.621666666666667,1
"38","AL",1997,0.39,0.6,1
"39","AL",1998,0.433333333333333,0.556666666666667,1
"40","AL",2000,0.47,0.48,1
"41","AL",2003,0.6325,0.345,0
"42","AL",2005,0.507142857142857,0.45,0
"43","AL",2006,0.47,0.5025,0
"44","AL",2007,0.431538461538462,0.543846153846154,0
"45","AL",2008,0.432727272727273,0.532727272727273,0
"46","AL",2009,0.458888888888889,0.49,1
"47","AR",1991,0.63,0.36,0
"48","AR",1993,0.4175,0.505,1
"49","AR",1994,0.466666666666667,0.516666666666667,1
"50","AR",1995,0.38,0.62,1
"51","AR",1996,0.535,0.465,1
"52","AR",1997,0.54,0.46,1
"53","AR",1998,0.585,0.415,1
"54","AR",2000,0.53,0.44,1
"55","AR",2001,0.87,0.09,0
"56","AR",2002,0.664,0.3,0
"57","AR",2003,0.47,0.46,0
"58","AR",2004,0.505,0.435,0
"59","AR",2005,0.4,0.56,0
"60","AR",2006,0.370714285714286,0.601428571428571,0
"61","AR",2007,0.3,0.65,0
"62","AR",2008,0.27,0.67,0
"63","AR",2009,0.41,0.533333333333333,1
"64","AZ",1991,0.6825,0.275,0
"65","AZ",1993,0.44625,0.53125,1
"66","AZ",1994,0.361666666666667,0.618333333333333,1
"67","AZ",1995,0.29,0.667777777777778,1
"68","AZ",1996,0.39,0.586,1
"69","AZ",1997,0.444,0.532,1
"70","AZ",1998,0.46,0.5125,1
"71","AZ",1999,0.47,NA,1
"72","AZ",2000,0.47,0.5,1
"73","AZ",2001,0.813333333333333,0.126666666666667,0
"74","AZ",2002,0.686,0.232,0
"75","AZ",2003,0.543636363636364,NA,0
"76","AZ",2004,0.477142857142857,0.472571428571429,0
"77","AZ",2005,0.425833333333333,0.539166666666667,0
"78","AZ",2006,0.428461538461539,0.548461538461538,0
"79","AZ",2007,0.35,0.61,0
"80","AZ",2008,0.34,0.61,0
"81","AZ",2009,0.51,0.4,1
"82","AZ",NA,0.72,0.28,1
"83","CA",1966,0.34125,0.5475,1
"84","CA",1977,0.53,0.35,1
"85","CA",1981,0.64,0.28,0
"86","CA",1984,0.36,0.06,1
"87","CA",1989,0.386666666666667,0.416666666666667,0
"88","CA",1990,0.535,0.428571428571429,0
"89","CA",1991,0.666923076923077,0.315384615384615,0
"90","CA",1992,0.46,0.23,0
"91","CA",1993,0.450714285714286,0.47,1
"92","CA",1994,0.430666666666667,0.522666666666667,1
"93","CA",1995,0.426666666666667,NA,1
"94","CA",1996,0.542307692307692,NA,1
"95","CA",1997,0.57125,0.36875,1
"96","CA",1998,0.625454545454545,0.339090909090909,1
"97","CA",1999,0.596,NA,1
"98","CA",2000,0.627777777777778,0.318888888888889,1
"99","CA",2001,0.688,0.216,0
"100","CA",2002,0.661428571428571,0.295714285714286,0
"101","CA",2003,0.477222222222222,0.46,0
"102","CA",2004,0.431176470588235,0.513823529411765,0
"103","CA",2005,0.344545454545455,0.605454545454545,0
"104","CA",2006,0.316818181818182,0.637272727272727,0
"105","CA",2007,0.272,0.6788,0
"106","CA",2008,0.252941176470588,0.706470588235294,0
"107","CA",2009,0.654117647058823,0.277647058823529,1
"108","CO",1962,0.64,0.34,1
"109","CO",1993,0.468333333333333,0.418333333333333,1
"110","CO",1994,0.356666666666667,0.556666666666667,1
"111","CO",1995,0.41,0.59,1
"112","CO",1996,0.415,0.585,1
"113","CO",1998,0.49,0.51,1
"114","CO",2000,0.53,0.44,1
"115","CO",2001,0.56,0.39,0
"116","CO",2002,0.686,0.284,0
"117","CO",2003,0.685,0.3,0
"118","CO",2004,0.4875,0.4225,0
"119","CO",2005,0.43,0.54375,0
"120","CO",2006,0.3825,0.595833333333333,0
"121","CO",2008,0.285,0.64,0
"122","CT",1990,0.58,0.4125,0
"123","CT",1991,0.6825,0.3175,0
"124","CT",1992,0.27,0.73,0
"125","CT",1993,0.3725,0.5375,1
"126","CT",1994,0.47,0.49,1
"127","CT",1995,0.384285714285714,0.601428571428571,1
"128","CT",1996,0.471666666666667,0.521666666666667,1
"129","CT",1998,0.635,0.335,1
"130","CT",2000,0.611666666666667,NA,1
"131","CT",2001,0.87,0.1,0
"132","CT",2002,0.632,0.326,0
"133","CT",2003,0.485555555555556,0.473333333333333,0
"134","CT",2004,0.415,0.526666666666667,0
"135","CT",2005,0.35,0.6125,0
"136","CT",2006,0.302,0.668,0
"137","CT",2007,0.24,0.72,0
"138","CT",2008,0.195,0.77,0
"139","CT",2009,0.698,0.21,1
"140","DE",1964,0.592631578947368,0.31,1
"141","DE",1994,0.45,0.51,1
"142","DE",1996,0.445,0.555,1
"143","DE",2000,0.64,0.34,1
"144","DE",2005,0.341428571428571,0.627142857142857,0
"145","DE",2006,0.313846153846154,0.662307692307692,0
"146","DE",2007,0.32,0.61,0
"147","DE",2008,0.175,0.77,0
"148","DE",2009,0.62,0.24,1
"149","FL",1979,0.4,0.47,1
"150","FL",1980,0.38,0.6,1
"151","FL",1981,0.37,0.25,0
"152","FL",1982,0.56,0.42,0
"153","FL",1983,0.43,0.55,0
"154","FL",1984,0.61,0.38,0
"155","FL",1985,0.635,0.36,0
"156","FL",1986,0.705,0.29,0
"157","FL",1987,0.615,0.385,0
"158","FL",1988,0.585,0.41,0
"159","FL",1989,0.615,0.385,0
"160","FL",1990,0.71,0.275,0
"161","FL",1991,0.524,0.466,0
"162","FL",1992,0.516666666666667,0.466666666666667,0
"163","FL",1993,0.366666666666667,0.578333333333333,1
"164","FL",1994,0.387142857142857,0.575714285714286,1
"165","FL",1995,0.366666666666667,0.633333333333333,1
"166","FL",1996,0.45,0.523333333333333,1
"167","FL",1997,0.4525,0.5475,1
"168","FL",1998,0.44,0.56,1
"169","FL",2000,0.58,0.39,1
"170","FL",2001,0.56,0.42,0
"171","FL",2002,0.6875,0.2925,0
"172","FL",2003,0.571666666666667,0.378333333333333,0
"173","FL",2004,0.499428571428571,0.443714285714286,0
"174","FL",2005,0.42,0.529166666666667,0
"175","FL",2006,0.389047619047619,0.57,0
"176","FL",2007,0.345333333333333,0.597333333333333,0
"177","FL",2008,0.303076923076923,0.636923076923077,0
"178","FL",2009,0.573333333333333,0.335555555555556,1
"179","GA",1964,0.436842105263158,0.404736842105263,1
"180","GA",1966,0.234285714285714,0.651428571428571,1
"181","GA",1994,0.364,0.586,1
"182","GA",1995,0.4125,0.5025,1
"183","GA",1996,0.471428571428571,NA,1
"184","GA",1997,0.523333333333333,NA,1
"185","GA",1998,0.543333333333333,0.413333333333333,1
"186","GA",1999,0.58375,NA,1
"187","GA",2000,0.553333333333333,NA,1
"188","GA",2002,0.7025,0.2675,0
"189","GA",2003,0.52,0.45875,0
"190","GA",2004,0.561818181818182,0.296363636363636,0
"191","GA",2005,0.468181818181818,0.465454545454545,0
"192","GA",2006,0.453333333333333,0.503333333333333,0
"193","GA",2007,0.382857142857143,0.475714285714286,0
"194","GA",2008,0.355,0.561666666666667,0
"195","GA",2009,0.494,0.44,1
"196","HI",1994,0.55,0.45,1
"197","HI",1995,0.38,0.61,1
"198","HI",1996,0.525,0.475,1
"199","HI",1997,0.56,0.44,1
"200","HI",2000,0.65,0.31,1
"201","HI",2005,0.407142857142857,0.524285714285714,0
"202","HI",2006,0.380909090909091,0.571818181818182,0
"203","HI",2009,0.68,0.26,1
"204","IA",1991,0.636666666666667,0.333333333333333,0
"205","IA",1993,0.45,0.473333333333333,1
"206","IA",1994,0.5075,0.4375,1
"207","IA",1995,0.4775,0.495,1
"208","IA",1996,0.55,0.4,1
"209","IA",1997,0.533333333333333,0.45,1
"210","IA",1998,0.602,0.37,1
"211","IA",2000,0.553333333333333,0.436666666666667,1
"212","IA",2001,0.835,0.105,0
"213","IA",2002,0.69,0.31,0
"214","IA",2003,0.475714285714286,0.454285714285714,0
"215","IA",2004,0.463529411764706,0.421764705882353,0
"216","IA",2005,0.39,0.576,0
"217","IA",2006,0.361666666666667,0.612777777777778,0
"218","IA",2007,0.315,0.65875,0
"219","IA",2008,0.31,0.66,0
"220","IA",2009,0.592,0.354,1
"221","IA",NA,0.54,0.3,1
"222","ID",1994,0.3,0.686666666666667,1
"223","ID",1996,0.305,0.695,1
"224","ID",1997,0.29,0.71,1
"225","ID",2000,0.4,0.57,1
"226","ID",2005,0.57,0.394285714285714,0
"227","ID",2006,0.54,0.435833333333333,0
"228","ID",2008,0.43,0.56,0
"229","ID",2009,0.45,0.47,1
"230","IL",1962,0.6,0.35,1
"231","IL",1966,0.368,0.528,1
"232","IL",1984,0.57,0.175,0
"233","IL",1985,0.56,0.14,0
"234","IL",1986,0.58,0.15,0
"235","IL",1987,0.44,0.47,0
"236","IL",1988,0.51,0.21,0
"237","IL",1989,0.51,0.46,0
"238","IL",1990,0.54,0.44,0
"239","IL",1991,0.57,0.42,0
"240","IL",1992,0.22,0.76,0
"241","IL",1993,0.396666666666667,0.553333333333333,1
"242","IL",1994,0.391666666666667,0.566666666666667,1
"243","IL",1995,0.406666666666667,NA,1
"244","IL",1996,0.468,0.504,1
"245","IL",1997,0.56,0.38,1
"246","IL",1998,0.608333333333333,0.361666666666667,1
"247","IL",1999,0.51,0.2,1
"248","IL",2000,0.59,0.395,1
"249","IL",2001,0.736666666666667,0.15,0
"250","IL",2002,0.535,NA,0
"251","IL",2003,0.464,0.45,0
"252","IL",2004,0.392,0.5275,0
"253","IL",2005,0.355,0.605,0
"254","IL",2006,0.321538461538461,0.647692307692308,0
"255","IL",2007,0.33,0.62,0
"256","IL",2008,0.23,0.73,0
"257","IN",1962,0.56,0.4,1
"258","IN",1968,0.63,0.35,1
"259","IN",1983,0.36,0.64,0
"260","IN",1985,0.55,0.45,0
"261","IN",1986,0.64,0.36,0
"262","IN",1989,0.52,0.43,0
"263","IN",1990,0.57,0.33,0
"264","IN",1991,0.41,0.38,0
"265","IN",1994,0.345,0.615,1
"266","IN",1995,0.3325,0.6625,1
"267","IN",1996,0.356666666666667,0.643333333333333,1
"268","IN",1997,0.41,0.59,1
"269","IN",1998,0.43,0.57,1
"270","IN",2000,0.48,0.5,1
"271","IN",2001,0.89,0.08,0
"272","IN",2002,0.76,NA,0
"273","IN",2004,0.222222222222222,0.481111111111111,0
"274","IN",2005,0.458571428571429,0.505714285714286,0
"275","IN",2006,0.423076923076923,0.546923076923077,0
"276","IN",2007,0.335,0.625,0
"277","IN",2008,0.385,0.585,0
"278","KS",1994,0.34,0.57,1
"279","KS",1995,0.36,0.64,1
"280","KS",1996,0.39,0.61,1
"281","KS",1998,0.48,0.52,1
"282","KS",2000,0.5,0.46,1
"283","KS",2005,0.468571428571429,0.494285714285714,0
"284","KS",2006,0.439166666666667,0.528333333333333,0
"285","KS",2007,0.390769230769231,0.578461538461538,0
"286","KS",2008,0.405833333333333,0.571666666666667,0
"287","KS",2009,0.483,0.453,1
"288","KY",1962,0.715,0.26,1
"289","KY",1964,0.571052631578947,0.289473684210526,1
"290","KY",1984,0.505,0.45,0
"291","KY",1985,0.53,0.45,0
"292","KY",1986,0.64,0.346666666666667,0
"293","KY",1987,0.455,0.535,0
"294","KY",1988,0.67,0.28,0
"295","KY",1989,0.58,0.19,0
"296","KY",1990,0.573333333333333,0.4,0
"297","KY",1991,0.66,0.32,0
"298","KY",1992,0.375,0.6,0
"299","KY",1993,0.325,0.63,1
"300","KY",1994,0.315,0.6725,1
"301","KY",1995,0.395,0.583333333333333,1
"302","KY",1996,0.426,0.568,1
"303","KY",1997,0.47,0.53,1
"304","KY",1998,0.57,0.42,1
"305","KY",2000,0.49,0.48,1
"306","KY",2001,0.91,0.06,0
"307","KY",2003,0.586666666666667,0.38,0
"308","KY",2004,0.565,0.41,0
"309","KY",2005,0.45875,0.505,0
"310","KY",2006,0.406666666666667,0.565833333333333,0
"311","KY",2007,0.377142857142857,0.595714285714286,0
"312","KY",2008,0.354615384615385,0.622307692307692,0
"313","KY",2009,0.49,0.451,1
"314","LA",1964,0.400526315789474,0.461578947368421,1
"315","LA",1990,0.74,0.16,0
"316","LA",1991,0.76,0.17,0
"317","LA",1992,0.43,0.52,0
"318","LA",1993,0.33,0.66,1
"319","LA",1995,0.445714285714286,0.521428571428571,1
"320","LA",1996,0.476666666666667,0.496666666666667,1
"321","LA",1999,0.65,0.32,1
"322","LA",2000,0.5,0.44,1
"323","LA",2002,0.6725,0.275,0
"324","LA",2003,0.612,0.378,0
"325","LA",2005,0.482857142857143,0.48,0
"326","LA",2006,0.449090909090909,0.519090909090909,0
"327","LA",2008,0.48,0.49,0
"328","LA",2009,0.5,0.415,1
"329","MA",1994,0.5225,0.3325,1
"330","MA",1996,0.55,0.45,1
"331","MA",1998,0.71,0.23,1
"332","MA",1999,0.63,0.31,1
"333","MA",2000,0.69,0.27,1
"334","MA",2002,0.59,0.4,0
"335","MA",2003,0.46,0.495,0
"336","MA",2004,0.358333333333333,0.58,0
"337","MA",2005,0.32625,0.6375,0
"338","MA",2006,0.285,0.689166666666667,0
"339","MA",2007,0.236666666666667,0.744166666666667,0
"340","MA",2008,0.232857142857143,0.748571428571429,0
"341","MA",2009,0.706,0.204,1
"342","MD",1989,0.495,0.45,0
"343","MD",1994,0.435,0.54,1
"344","MD",1995,0.44,0.56,1
"345","MD",1996,0.475,0.525,1
"346","MD",1998,0.56,NA,1
"347","MD",1999,0.64,0.33,1
"348","MD",2000,0.63,0.34,1
"349","MD",2002,0.7225,0.18,0
"350","MD",2003,0.48625,0.42125,0
"351","MD",2004,0.43,0.50625,0
"352","MD",2005,0.35,0.613333333333333,0
"353","MD",2006,0.328125,0.64625,0
"354","MD",2007,0.25,0.68,0
"355","MD",2008,0.243333333333333,0.7,0
"356","MD",2009,0.59,0.32,1
"357","ME",1964,0.579473684210526,0.249473684210526,1
"358","ME",1994,0.38,0.6,1
"359","ME",1996,0.555,0.36,1
"360","ME",2000,0.6,0.37,1
"361","ME",2003,0.41,0.5,0
"362","ME",2004,0.46,0.54,0
"363","ME",2005,0.355,0.615,0
"364","ME",2006,0.324545454545455,0.656363636363636,0
"365","ME",2007,0.256666666666667,0.66,0
"366","ME",2008,0.165,0.695,0
"367","ME",2009,0.632,0.292,1
"368","ME",NA,0.45,0.55,0
"369","MI",1993,0.425,0.523333333333333,1
"370","MI",1994,0.4075,0.5625,1
"371","MI",1995,0.483333333333333,0.503333333333333,1
"372","MI",1996,0.49125,0.5025,1
"373","MI",1997,0.62,NA,1
"374","MI",1998,0.64,0.33,1
"375","MI",1999,0.59625,0.37625,1
"376","MI",2000,0.606666666666667,0.38,1
"377","MI",2001,0.8,0.19,0
"378","MI",2002,0.671666666666667,0.316666666666667,0
"379","MI",2003,0.484705882352941,0.499411764705882,0
"380","MI",2004,0.459428571428571,NA,0
"381","MI",2005,0.358125,0.59125,0
"382","MI",2006,0.333461538461538,0.628846153846154,0
"383","MI",2007,0.25875,0.6825,0
"384","MI",2008,0.273333333333333,0.675555555555556,0
"385","MI",2009,0.573333333333333,0.393333333333333,1
"386","MN",1990,0.62,0.34,0
"387","MN",1991,0.7375,0.2075,0
"388","MN",1994,0.453333333333333,0.51,1
"389","MN",1995,0.465,0.49,1
"390","MN",1996,0.53,0.47,1
"391","MN",1998,0.66,NA,1
"392","MN",1999,0.71,0.26,1
"393","MN",2000,0.64,0.34,1
"394","MN",2001,0.685,0.305,0
"395","MN",2002,0.61,0.34,0
"396","MN",2003,0.522222222222222,NA,0
"397","MN",2004,0.474444444444444,0.428888888888889,0
"398","MN",2005,0.40125,0.59,0
"399","MN",2006,0.366666666666667,0.606,0
"400","MN",2007,0.31,0.663571428571429,0
"401","MN",2008,0.302,0.669,0
"402","MN",2009,0.571818181818182,0.354545454545455,1
"403","MO",1994,0.375,0.61,1
"404","MO",1996,0.423333333333333,0.576666666666667,1
"405","MO",2000,0.55,0.42,1
"406","MO",2002,0.666666666666667,0.306666666666667,0
"407","MO",2003,0.6,0.39,0
"408","MO",2004,0.53,0.43,0
